"DATE","Quantity"
"2021-11-13",1259.32
"2021-11-14",1515.3000000000002
"2021-11-15",58455.853199999845
"2021-11-16",60597.50599999992
"2021-11-17",59977.05999999997
"2021-11-18",60979.57999999988
"2021-11-19",53404.37199999986
"2021-11-20",869.5400000000002
"2021-11-22",57993.961999999985
"2021-11-23",60235.11999999997
"2021-11-24",59751.93999999994
"2021-11-25",64088.05799999988
"2021-11-26",55103.39100000006
"2021-11-27",1563.7399999999998
"2021-11-29",49471.12999999992
"2021-11-30",56295.07999999984
"2021-12-01",58921.94010000006
"2021-12-02",53297.88000000013
"2021-12-03",49453.50999999993
"2021-12-04",689.5
"2021-12-05",1454.5
"2021-12-06",52909.50999999995
"2021-12-07",53765.41009999992
"2021-12-08",52711.2699999998
"2021-12-09",54616.60299999994
"2021-12-10",47279.42199999991
"2021-12-11",577.28
"2021-12-12",1440.1999999999998
"2021-12-13",55915.27400000004
"2021-12-14",54750.64999999976
"2021-12-15",54144.45999999998
"2021-12-16",51623.6099999999
"2021-12-17",47214.82999999998
"2021-12-18",277.42
"2021-12-19",1524.4
"2021-12-20",49446.88999999993
"2021-12-21",44229.16999999993
"2021-12-22",30439.400000000023
"2021-12-23",6301.11
"2021-12-28",2636.5
"2021-12-29",3045.0699999999997
"2021-12-30",2733.1
"2022-01-03",1529.3000000000002
"2022-01-04",9041.079999999996
"2022-01-05",27839.690999999988
"2022-01-06",33657.06
"2022-01-07",30060.67999999996
"2022-01-08",290.87
"2022-01-09",1512.6999999999998
"2022-01-10",49024.92799999997
"2022-01-11",44042.948000000026
"2022-01-12",58437.4600000001
"2022-01-13",51648.00199999984
"2022-01-14",44495.850000000086
"2022-01-15",478.76
"2022-01-16",1558.6
"2022-01-17",55354.67799999988
"2022-01-18",56980.54029999982
"2022-01-19",55621.062999999805
"2022-01-20",52480.349999999955
"2022-01-21",50011.570200000024
"2022-01-22",565.9
"2022-01-23",2707.5
"2022-01-24",58360.01499999986
"2022-01-25",55936.369999999915
"2022-01-26",56552.38099999993
"2022-01-27",57287.08999999992
"2022-01-28",52707.348999999944
"2022-01-29",217.23000000000002
"2022-01-30",2377.3999999999996
"2022-01-31",49895.62869999998
"2022-02-01",61010.063999999984
"2022-02-02",58137.036000000015
"2022-02-03",56890.695999999996
"2022-02-04",52135.15400000011
"2022-02-05",1144.6900000000003
"2022-02-06",2710
"2022-02-07",53999.49999999996
"2022-02-08",55881.010000000075
"2022-02-09",51520.25999999995
"2022-02-10",51496.569999999905
"2022-02-11",52015.80099999987
"2022-02-12",2132.2000000000003
"2022-02-13",1521.2
"2022-02-14",56043.79399999996
"2022-02-15",58043.36999999986
"2022-02-16",54298.84779999998
"2022-02-17",48347.34999999998
"2022-02-18",35178.239999999976
"2022-02-19",1283.3600000000006
"2022-02-20",1659.22
"2022-02-21",37876.18999999999
"2022-02-22",50139.560000000005
"2022-02-23",52719.58949999998
"2022-02-24",49035.85900000006
"2022-02-25",51091.00999999991
"2022-02-26",1031.3400000000001
"2022-02-28",51362.25999999999
"2022-03-01",51933.48999999988
"2022-03-02",54157.487000000016
"2022-03-03",53811.36099999998
"2022-03-04",50300.9020000001
"2022-03-05",366.9
"2022-03-07",54973.11000000008
"2022-03-08",53589.770000000055
"2022-03-09",54893.509999999944
"2022-03-10",52603.47999999997
"2022-03-11",48902.83499999993
"2022-03-12",347.28000000000003
"2022-03-14",53805.68600000001
"2022-03-15",55224.61999999986
"2022-03-16",59563.43000000005
"2022-03-17",54319.358999999844
"2022-03-18",50629.010000000075
"2022-03-19",492.5200000000001
"2022-03-20",1442.2
"2022-03-21",56411.03800000008
"2022-03-22",55262.31300000002
"2022-03-23",55693.630999999994
"2022-03-24",57664.09999999993
"2022-03-25",53301.00000000005
"2022-03-26",3029.8199999999993
"2022-03-27",1530.6
"2022-03-28",57362.15999999989
"2022-03-29",59355.39999999992
"2022-03-30",59411.03000000001
"2022-03-31",57495.26000000013
"2022-04-01",50918.70399999988
"2022-04-02",869.8
"2022-04-03",1435.3
"2022-04-04",55641.75969999992
"2022-04-05",55401.888000000064
"2022-04-06",54946.25
"2022-04-07",55004.44599999987
"2022-04-08",47818.62799999987
"2022-04-09",767.8999999999999
"2022-04-11",51006.72299999997
"2022-04-12",54374.71999999994
"2022-04-13",53790.40999999999
"2022-04-14",51497.92000000002
"2022-04-15",7398.780000000003
"2022-04-16",29.04
"2022-04-18",4102.62
"2022-04-19",56194.05199999993
"2022-04-20",53136.02800000001
"2022-04-21",53328.390999999945
"2022-04-22",49803.42100000001
"2022-04-23",471.29999999999995
"2022-04-24",2860.2000000000003
"2022-04-25",53880.179999999935
"2022-04-26",52319.189999999944
"2022-04-27",54109.635999999955
"2022-04-28",50135.798
"2022-04-29",44060.89999999997
"2022-04-30",1861.74
"2022-05-01",1534.2599999999998
"2022-05-02",1374.72
"2022-05-03",50574.572000000044
"2022-05-04",54730.05950000013
"2022-05-05",54771.58000000001
"2022-05-06",51532.760999999766
"2022-05-07",2371.379999999999
"2022-05-09",55751.50600000005
"2022-05-10",59184.700000000004
"2022-05-11",54580.86969999994
"2022-05-12",51890.29999999997
"2022-05-13",49845.52599999999
"2022-05-14",2031.88
"2022-05-16",50478.96200000006
"2022-05-17",50860.399999999994
"2022-05-18",52459.509999999995
"2022-05-19",53623.28179999995
"2022-05-20",49377.51799999988
"2022-05-21",1976.62
"2022-05-23",49819.4279999999
"2022-05-24",54132.20799999991
"2022-05-25",56707.98000000002
"2022-05-26",51620.86000000002
"2022-05-27",46741.88000000007
"2022-05-28",469.52
"2022-05-29",910.3
"2022-05-30",53562.250000000065
"2022-05-31",53517.61399999997
"2022-06-01",49170.47999999998
"2022-06-02",15277.669999999996
"2022-06-03",1381.1
"2022-06-05",1530.1
"2022-06-06",49025.75000000001
"2022-06-07",57285.35999999995
"2022-06-08",56068.796000000075
"2022-06-09",53159.99100000004
"2022-06-10",52168.17000000011
"2022-06-11",679.0599999999998
"2022-06-12",2884.8999999999996
"2022-06-13",59453.9799999999
"2022-06-14",63401.51999999994
"2022-06-15",57815.804999999964
"2022-06-16",58974.56999999996
"2022-06-17",52383.71000000012
"2022-06-18",429.91999999999996
"2022-06-19",533.1000000000001
"2022-06-20",51672.78000000005
"2022-06-21",52175.44000000018
"2022-06-22",53923.23199999998
"2022-06-23",49672.170000000064
"2022-06-24",45981.30999999996
"2022-06-25",1195.0199999999998
"2022-06-26",3033.6
"2022-06-27",53160.03000000003
"2022-06-28",59159.870000000104
"2022-06-29",52345.09200000007
"2022-06-30",51723.88199999993
"2022-07-01",48527.052000000025
"2022-07-02",426.88
"2022-07-03",1521.9
"2022-07-04",46402.69999999999
"2022-07-05",48913.67999999987
"2022-07-06",51358.16899999995
"2022-07-07",51064.50199999998
"2022-07-08",43230.38000000006
"2022-07-09",604.8500000000001
"2022-07-10",1286
"2022-07-11",50707.63600000008
"2022-07-12",49797
"2022-07-13",51929.22500000009
"2022-07-14",51813.47000000002
"2022-07-15",46148.12000000005
"2022-07-16",591.7600000000001
"2022-07-17",1674.9
"2022-07-18",45189.9999999999
"2022-07-19",41440.49000000006
"2022-07-20",45826.35999999996
"2022-07-21",52316.16999999998
"2022-07-22",48379.076000000074
"2022-07-23",305.26
"2022-07-24",1517.9
"2022-07-25",50671.95
"2022-07-26",50993.14800000002
